f    Sigma
10000000.0    0.0002225475439421719
10890890.89089089    0.0003130196016811351
11781781.781781781    0.0004285958528200785
12672672.672672672    0.0005735273708434728
13563563.563563563    0.0007523930281833913
14454454.454454456    0.0009700980638662822
15345345.345345344    0.0012318725398487006
16236236.236236237    0.0015432696825132403
17127127.127127126    0.0019101641048601987
18018018.01801802    0.0023387499038598344
18908908.90890891    0.0028355386262168165
19799799.7997998    0.003407357094434968
20690690.69069069    0.004061345083549349
21581581.58158158    0.00480495283720714
22472472.472472474    0.005645938409922349
23363363.363363363    0.006592364820294827
24254254.25425425    0.0076525969977675745
25145145.145145144    0.00883529850309018
26036036.036036037    0.010149428000058872
26926926.926926926    0.01160423545330893
27817817.81781782    0.013209258023942325
28708708.708708707    0.014974315631579721
29599599.5995996    0.016909506148032664
30490490.49049049    0.019025200184198277
31381381.38138138    0.021332035427990628
32272272.27227227    0.023840910487144127
33163163.163163163    0.026562978186562714
34054054.05405405    0.02950963826555516
34944944.94494495    0.03269252941580561
35835835.83583583    0.036123520596295075
36726726.726726726    0.03981470155663796
37617617.617617615    0.043778372495451086
38508508.5085085    0.048027032775464544
39399399.3993994    0.05257336861214782
40290290.29029029    0.05743023964770603
41181181.18118118    0.06261066431745177
42072072.072072074    0.06812780391082619
42962962.96296296    0.07399494522480853
43853853.85385385    0.08022548170317745
44744744.74474474    0.08683289295116
45635635.63563564    0.09383072251152474
46526526.526526526    0.1012325537852348
47417417.417417414    0.10905198397750797
48308308.3083083    0.11730259594864945
49199199.1991992    0.12599792784847372
50090090.09009009    0.13515144041366955
50980980.98098098    0.1447764818092423
51871871.87187187    0.1548862498983747
52762762.76276276    0.16549375182986273
53653653.65365365    0.17661176083889923
54544544.54454454    0.18825277016561118
55435435.43543544    0.20042894400659125
56326326.326326326    0.21315206542795556
57217217.217217214    0.22643348118436674
58108108.1081081    0.24028404340725315
58998998.998999    0.25471404814727683
59889889.88988989    0.2697331707811825
60780780.78078078    0.285350398321669
61671671.671671666    0.30157395870093184
62562562.56256256    0.3184112471342715
63453453.45345345    0.3358687497095461
64344344.34434434    0.35395196439143944
65235235.23523523    0.37266531967629385
66126126.126126125    0.39201209118369185
67017017.017017014    0.4119943165246275
67907907.9079079    0.4326127088428689
68798798.7987988    0.45386656948547066
69689689.6896897    0.47575370031980474
70580580.58058058    0.49827031627737156
71471471.47147146    0.521410958768172
72362362.36236235    0.5451684106726802
73253253.25325325    0.569533613680418
74144144.14414415    0.5944955888036052
75035035.03503503    0.6200413609500145
75925925.92592593    0.6461558884895972
76816816.8168168    0.6728219987931707
77707707.7077077    0.7000203307567742
78598598.5985986    0.7277292853506773
79489489.48948948    0.7559249852457494
80380380.38038038    0.7845812445702948
81271271.27127127    0.8136695498360664
82162162.16216215    0.843159053041447
83053053.05305305    0.873016577911591
83943943.94394395    0.9032066401684675
84834834.83483483    0.9336914826377397
85725725.72572573    0.9644311258936592
86616616.6166166    0.9953834350177702
87507507.5075075    1.0265042029028286
88398398.3983984    1.0577472503705843
89289289.28928928    1.089064543192868
90180180.18018018    1.1204063259114219
91071071.07107107    1.1517212721458996
91961961.96196195    1.1829566508644453
92852852.85285285    1.214058507870655
93743743.74374373    1.2449718615387153
94634634.63463463    1.2756409116090501
